岗位名称,公司名称,薪资,工作地点,学历,经验,融资情况,公司规模,福利待遇,发布日期,详情页
协作机器人控制器软件开发主管,深圳市泰科智能机器人有限公司,2-4万·16薪,深圳-南山区,硕士,5-7年经验,民营,50-150人,五险一金 绩效奖金 年终奖金 专业培训 弹性工作,12-20,https://jobs.51job.com/shenzhen-nsq/130901516.html?s=sou_sou_soulb&t=0_0
对日高级软件开发工程师,上海网擎信息系统有限公司,1.6-3.2万,上海,本科,3-4年经验,民营,,,12-20,https://jobs.51job.com/shanghai-ypq/143158384.html?s=sou_sou_soulb&t=0_1
测试开发工程师,深圳市智慧海洋科技有限公司,1-1.5万·13薪,深圳-南山区,本科,1年经验,民营,50-150人,五险一金 补充公积金 补充医疗保险 通讯补贴 出国机会 专业培训 绩效奖金 年终奖金 股票期权 定期体检,12-20,https://jobs.51job.com/shenzhen-nsq/141376886.html?s=sou_sou_soulb&t=0_0
大数据ETL开发工程师,深圳市华安众创科技有限公司,1-1.5万,深圳-龙岗区,本科,1年经验,民营,50-150人,五险一金 绩效奖金 年终奖金 员工旅游 弹性工作 提供住宿 早九晚六 周末双休 不加班 项目奖金,12-20,https://jobs.51job.com/shenzhen-lgq/141697017.html?s=sou_sou_soulb&t=0_0
大数据开发工程师助理,贵州开阔科技有限公司,8千-1.2万,深圳-宝安区,大专,无需经验,民营,,五险一金 年终奖金 定期体检,12-19,https://jobs.51job.com/shenzhen-baq/143516018.html?s=sou_sou_soulb&t=0_0
测试工程师 测试开发工程师 Test Engineer,上海帝博企业管理咨询有限公司,2-3.5万·15薪,深圳,本科,10年以上经验,外资（欧美）,少于50人,五险一金 员工旅游 出国机会 专业培训 通讯补贴 绩效奖金 年终奖金 定期体检,12-20,https://jobs.51job.com/shenzhen/140421185.html?s=sou_sou_soulb&t=0_0
系统开发工程师,富士康科技集团,1-2万·13薪,深圳-龙华区,本科,3-4年经验,外资（非欧美）,10000人以上,五险一金 带薪年假 节日福利 绩效奖金 定期体检,12-20,https://jobs.51job.com/shenzhen-lhq/141757559.html?s=sou_sou_soulb&t=0_0
嵌入式软件开发高级工程师,广东正扬传感科技股份有限公司,1.8-3万·13薪,深圳-龙华区,本科,3-4年经验,外资（非欧美）,5000-10000人,五险一金 专业培训 年终奖金 带薪年假 节日福利 岗位晋升 包住宿 绩效奖金 全勤奖,12-19,https://jobs.51job.com/shenzhen-lhq/142053292.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,贵州开阔科技有限公司,7千-1.1万,深圳-宝安区,大专,无需经验,民营,,五险一金 年终奖金 定期体检,12-19,https://jobs.51job.com/shenzhen-baq/144113514.html?s=sou_sou_soulb&t=0_0
Java前端开发工程师,深圳市平行线科技有限公司,3千/天,深圳-南山区,本科,3-4年经验,民营,,五险一金 带薪年假 节日福利,12-16,https://jobs.51job.com/shenzhen-nsq/144690838.html?s=sou_sou_soulb&t=0_0
